run_id,phase,duration_ms
parallel,total,152732
parallel,total,51251
parallel,total,46952
parallel,total,42043
sequential,total,1207
sequential,total,1188
sequential,total,1608
sequential,total,217981
sequential,total,221331
parallel,total,251579
sequential,total,4594
parallel,total,32413
sequential,total,5025
sequential,total,4579
sequential,total,4422
parallel,total,22233
sequential,total,4460
parallel,total,16369
parallel,total,8250
parallel,total,5266
sequential,total,51407
sequential,total,47409
sequential,total,41559
parallel,total,8189
parallel,total,8690
parallel,total,5426
parallel,total,6314
sequential,total,52306
sequential,total,1650
parallel,total,52412
parallel,total,3015
parallel,total,4845282
parallel,total,553958
sequential,total,42620
parallel,total,9127
sequential,total,40228
parallel,total,9039
parallel,total,8768
sequential,total,46346
parallel,total,10477
sequential,total,60730
parallel,total,14307
